name,quantity,price
Laptop Bag,15,45.99
Wireless Mouse,25,24.99
Bluetooth Keyboard,10,49.99
USB-C Adapter,50,12.99
1080p Monitor,7,199.99
Gaming Headset,30,79.99
Smartphone Stand,45,19.99
Portable Charger,20,29.99
Wireless Earbuds,60,99.99
External Hard Drive,10,59.99
Laptop Cooling Pad,15,39.99
Webcam,5,89.99
HDMI Cable,40,14.99
Laptop Sleeve,20,24.99
Smart Speaker,12,129.99
Phone Case,65,15.99
Screen Protector,100,9.99
WiFi Router,8,69.99
Smart Watch,10,249.99
Fitness Tracker,15,59.99
Tablet Stand,25,29.99
Stylus Pen,50,19.99
Gaming Controller,30,59.99
Memory Card,60,24.99
Smart Plug,20,19.99
USB Hub,35,34.99
Noise-Cancelling Headphones,10,299.99
Mouse Pad,45,11.99
Microphone,5,99.99
VR Headset,8,299.00
Laptop Stand,15,49.99
Gaming Chair,5,399.99
Computer Speakers,10,79.99
Desk Organizer,20,24.99
Car Charger,35,14.99
Mobile Holder,50,9.99
Ethernet Cable,40,12.99
USB Flash Drive,60,19.99
Drone,3,999.99
Smartphone Tripod,20,29.99
Laptop Lock,25,34.99
Wireless Presenter,10,39.99
Bluetooth Speaker,15,59.99
Battery Pack,30,49.99
LED Strip Lights,40,29.99
Smart Thermostat,5,199.99
Digital Pen,20,79.99
Security Camera,10,149.99
Wireless Charger,30,39.99
Keyboard Cover,50,19.99
